location;source;target;id;fuzzy;context;translator_comments;developer_comments
;Trust All;Allen vertrauen;;False;Client/en.lproj/Cliqz.strings///Trust All;[ControlCenter - Trackers list] Trust All trackers action title;
;Trust Site;Seite vertrauen;;False;Client/en.lproj/Cliqz.strings///Trust Site;[ControlCenter -> Overview] Trust button title;
;Turn on Location Services;Ortungsdienste aktivieren;;True;Client/en.lproj/Cliqz.strings///Turn on Location Services;Alert title for turning on location service when clicking share location on local card;
;Unblock All;Alle entsperren;;False;Client/en.lproj/Cliqz.strings///Unblock All;[ControlCenter - Trackers list] Unblock All trackers action title;
;Video quality;Videoqualit‰t;;True;Client/en.lproj/Cliqz.strings///Video quality;[VidoeDownloader] Youtube downloader action sheet title;
;Warning: deceptive website!;Warnung: betr¸gerische Website!;;True;Client/en.lproj/Cliqz.strings///Warning: deceptive website!;Antiphishing alert title;
;We use opensource software Sentry (http://sentry.io) for our crash reports. these reports do not contain any personal data.;;;False;Client/en.lproj/Cliqz.strings///We use opensource software Sentry (http://sentry.io) for our crash reports. these reports do not contain any personal data.;[Settings -> Send Crash Reports] Footer text;
;Websites which are known to contain explicit content are automatically opened in Forget Tabs. Visits to such websites are therefore not saved to your history.;Websites, die bekannt sind f¸r nicht-jugendfreie Inhalte, werden automatisch in einem Vergessen-Tab geˆffnet. Das hei√üt, Besuche dieser Seiten werden nicht im Verlauf gespeichert.;;True;Client/en.lproj/Cliqz.strings///Websites which are known to contain explicit content are automatically opened in Forget Tabs. Visits to such websites are therefore not saved to your history.;[Settings -> AutoForget Tab] toogle footer;
;Would you like to subscribe to the {1}?;Mˆchtest du {1} abonnieren?;;True;Client/en.lproj/Cliqz.strings///Would you like to subscribe to the {1}?;[Subscriptions] Alert title for asking to subscribe for soccer notificaiton;
;You connected your first device!\n\nNow you are ready to send websites and YouTube videos from your computer to your mobile device.;Du hast dein erstes Ger‰t verbunden!\n\nJetzt kannst du Websites und YouTube Videos von deinem Computer an dein mobiles Ger‰t senden.;;True;Client/en.lproj/Cliqz.strings///You connected your first device!\n\nNow you are ready to send websites and YouTube videos from your computer to your mobile device.;[Connect] Connection Successful alert message;
;You will be notified about games, goals and important happenings of the {1}.;Du wirst ¸ber wichtige Spielereignisse oder Vereinsereignisse benachrichtigt.;;True;Client/en.lproj/Cliqz.strings///You will be notified about games, goals and important happenings of the {1}.;[Subscriptions] Alert message for asking to subscribe for soccer notificaiton;
;Your video is being downloaded.;Download gestartet;;False;Client/en.lproj/Cliqz.strings///Your video is being downloaded.;[VidoeDownloader] Toast message shown when youtube video download started;
;Germany;Deutschland;;True;Client/en.lproj/Cliqz.strings///region-DE;Localized String for German region;
;France;Frankreich;;True;Client/en.lproj/Cliqz.strings///region-FR;Localized String for France region;
;United States;USA;;True;Client/en.lproj/Cliqz.strings///region-US;Localized String for United States region;
;Open in Safari;In Safari √∂ffnen;;True;Client/en.lproj/ErrorPages.strings///Open in Safari;Shown in error pages for files that can't be shown and need to be downloaded.;
;Try again;Nochmals versuchen;;True;Client/en.lproj/ErrorPages.strings///Try again;Shown in error pages on a button that will try to load the page again;
;Done;Fertig;;True;Client/en.lproj/FindInPage.strings///Done;Done button in Find in Page Toolbar.;
;Find in Page;Seite durchsuchen;;True;Client/en.lproj/FindInPage.strings///Find in Page;Text selection menu item;
;Next in-page result;N√§chstes Suchergebnis auf dieser Seite;;True;Client/en.lproj/FindInPage.strings///Next in-page result;Accessibility label for next result button in Find in Page Toolbar.;
;Previous in-page result;Vorheriges Suchergebnis auf dieser Seite;;True;Client/en.lproj/FindInPage.strings///Previous in-page result;Accessibility label for previous result button in Find in Page Toolbar.;
;Delete;Lˆschen;;False;Client/en.lproj/HistoryPanel.strings///Delete;Action button for deleting history entries in the history panel.;
;$(MOZ_BUNDLE_DISPLAY_NAME);;;False;Client/en.lproj/InfoPlist.strings///CFBundleDisplayName;Bundle display name;
;$(MOZ_PRODUCT_NAME);;;False;Client/en.lproj/InfoPlist.strings///CFBundleName;Bundle name;
;This lets you take and upload photos.;Damit kannst du Fotos/Videos scannen, aufnehmen oder hochladen.;;True;Client/en.lproj/InfoPlist.strings///NSCameraUsageDescription;Privacy - Camera Usage Description;
;Firefox requires Face ID to access your saved logins.;;;False;Client/en.lproj/InfoPlist.strings///NSFaceIDUsageDescription;Privacy - Face ID Usage Description;
;Websites you visit may request your location.;Dein Standort wird verwendet, um bessere Suchergebnisse anzuzeigen.;;True;Client/en.lproj/InfoPlist.strings///NSLocationWhenInUseUsageDescription;Privacy - Location When In Use Usage Description;
;This lets you take and upload videos.;Cliqz greif nur auf dein Mikrofon zu, wenn du Videos innerhalb des Browsers aufnimmst.;;True;Client/en.lproj/InfoPlist.strings///NSMicrophoneUsageDescription;Privacy - Microphone Usage Description;
;This lets you save photos.;Cliqz wird diesen Zugriff nur nutzen um Videos und Bilder auf dein Ger√§t herunterzuladen.;;True;Client/en.lproj/InfoPlist.strings///NSPhotoLibraryAddUsageDescription;Privacy - Photo Library Additions Usage Description;
;This lets you save and upload photos.;Cliqz wird diesen Zugriff nur nutzen um Videos und Bilder auf dein Ger√§t herunterzuladen.;;True;Client/en.lproj/InfoPlist.strings///NSPhotoLibraryUsageDescription;Privacy - Photo Library Usage Description;
;New Private Tab;Neuer Ghost Tab  ;;False;Client/en.lproj/InfoPlist.strings///ShortcutItemTitleNewPrivateTab;;
;New Tab;;;False;Client/en.lproj/InfoPlist.strings///ShortcutItemTitleNewTab;;
;Scan QR Code;;;False;Client/en.lproj/InfoPlist.strings///ShortcutItemTitleQRCode;;
;Browse multiple Web pages at the same time with tabs.;Surfen Sie mit Tabs auf mehreren Webseiten gleichzeitig.;;True;Client/en.lproj/Intro.strings///Browse multiple Web pages at the same time with tabs.;See http://mzl.la/1T8gxwo;
;Connect Firefox everywhere you use it.;Verbinden Sie Firefox, wo immer Sie ihn verwenden.;;True;Client/en.lproj/Intro.strings///Connect Firefox everywhere you use it.;See http://mzl.la/1T8gxwo;
;Personalize your Firefox just the way you like in Settings.;Passen Sie Ihren Firefox √ºber die Einstellungen an Ihre pers√∂nlichen W√ºnsche an.;;True;Client/en.lproj/Intro.strings///Personalize your Firefox just the way you like in Settings.;See http://mzl.la/1T8gxwo;
;Allow Firefox to use my Photos;Firefox erlauben auf meine Fotos zuzugreifen;;True;Client/en.lproj/LightweightThemes.strings///Allow Firefox to use my Photos;Pending feature;
;Back to Themes;Zur√ºck zu Themes;;True;Client/en.lproj/LightweightThemes.strings///Back to Themes;Pending feature;
;Choose;Ausw√§hlen;;True;Client/en.lproj/LightweightThemes.strings///Choose;Pending feature;
;Choose Theme;Theme ausw√§hlen;;True;Client/en.lproj/LightweightThemes.strings///Choose Theme;Pending feature;
;Default Themes;Standard-Themes;;True;Client/en.lproj/LightweightThemes.strings///Default Themes;Pending feature;
;My Photos;Meine Fotos;;True;Client/en.lproj/LightweightThemes.strings///My Photos;Pending feature;
;Photos;Fotos;;True;Client/en.lproj/LightweightThemes.strings///Photos;Pending feature;
;Preview;Vorschau anzeigen;;True;Client/en.lproj/LightweightThemes.strings///Preview;Pending feature;
;Preview Theme;Vorschau f√ºr Theme anzeigen;;True;Client/en.lproj/LightweightThemes.strings///Preview Theme;Pending feature;
;Set;√úbernehmen;;True;Client/en.lproj/LightweightThemes.strings///Set;Pending feature;
;Set Theme;Theme √ºbernehmen;;True;Client/en.lproj/LightweightThemes.strings///Set Theme;Pending feature;
;Theme;Theme;;True;Client/en.lproj/LightweightThemes.strings///Theme;Pending feature;
;Themes;Themes;;True;Client/en.lproj/LightweightThemes.strings///Themes;Pending feature;
;+;+;;True;Client/en.lproj/Localizable.strings///+;Button for larger reader font size. Keep this extremely short! This is shown in the reader mode toolbar.;
;-;-;;True;Client/en.lproj/Localizable.strings///-;Button for smaller reader font size. Keep this extremely short! This is shown in the reader mode toolbar.;
;A username and password are being requested by %@.;%@ verlangt einen Benutzernamen und ein Passwort.;;True;Client/en.lproj/Localizable.strings///A username and password are being requested by %@.;Authentication prompt message with no realm. Parameter is the hostname of the site;
;A username and password are being requested by %1$@. The site says: %2$@;%1$@ verlangt einen Benutzernamen und ein Passwort. Ausgabe der Website: %2$@;;True;Client/en.lproj/Localizable.strings///A username and password are being requested by %@. The site says: %@;Authentication prompt message with a realm. First parameter is the hostname. Second is the realm string;
;Aa;Aa;;True;Client/en.lproj/Localizable.strings///Aa;Button for reader mode font size. Keep this extremely short! This is shown in the reader mode toolbar.;
;About;√úber;;True;Client/en.lproj/Localizable.strings///About;About settings section title;
;Add Tab;Tab hinzuf√ºgen;;True;Client/en.lproj/Localizable.strings///Add Tab;Accessibility label for the Add Tab button in the Tab Tray.;
;Add to Reading List;Zur Leseliste hinzuf√ºgen;;True;Client/en.lproj/Localizable.strings///Add to Reading List;Accessibility label for action adding current page to reading list. Name for button adding current article to reading list in reader mode;
;Added page to Reading List;Seite zur Leseliste hinzugef√ºgt;;True;Client/en.lproj/Localizable.strings///Added page to Reading List;Accessibility message e.g. spoken by VoiceOver after the current page gets added to the Reading List using the Reader View button, e.g. by long-pressing it or by its accessibility custom action.;
;Address and Search;Adresse und Suche;;True;Client/en.lproj/Localizable.strings///Address and Search;Accessibility label for address and search field, both words (Address, Search) are therefore nouns.;
;Always Send;Immer senden;;True;Client/en.lproj/Localizable.strings///Always Send;Used as a button label for crash dialog prompt;
;Authentication required;Authentifizierung erforderlich;;True;Client/en.lproj/Localizable.strings///Authentication required;Authentication prompt title;
;Back;Zur√ºck;;True;Client/en.lproj/Localizable.strings///Back;Accessibility label for the Back button in the tab toolbar.;
;Block Pop-up Windows;;;False;Client/en.lproj/Localizable.strings///Block Pop-up Windows;Block pop-up windows setting;
;Bookmarks;Lesezeichen;;True;Client/en.lproj/Localizable.strings///Bookmarks;Panel accessibility label;
;Bookmarks you save will show up here.;Gespeicherte Lesezeichen erscheinen hier.;;True;Client/en.lproj/Localizable.strings///Bookmarks you save will show up here.;Status label for the empty Bookmarks state.;
;Brightness;Helligkeit;;True;Client/en.lproj/Localizable.strings///Brightness;Accessibility label for brightness adjustment slider in Reader Mode display settings;
;Cancel;Abbrechen;;True;Client/en.lproj/Localizable.strings///Cancel;Label for Cancel button The cancel button.;
;Changes color theme.;√Ñndert Farbeinstellung.;;True;Client/en.lproj/Localizable.strings///Changes color theme.;Accessibility hint for the color theme setting buttons in reader mode display settings;
;Changes font type.;√Ñndert Schriftart.;;True;Client/en.lproj/Localizable.strings///Changes font type.;Accessibility hint for the font type buttons in reader mode display settings;
;Clear Private Data;Private Daten l√∂schen;;True;Client/en.lproj/Localizable.strings///Clear Private Data;Label used as an item in Settings. When touched it will open a dialog prompting the user to make sure they want to clear all of their private data.;
;Close;Schlie√üen;;True;Client/en.lproj/Localizable.strings///Close;Accessibility label for action denoting closing a tab in tab list (tray);
;Closing tab;Tab wird geschlossen;;True;Client/en.lproj/Localizable.strings///Closing tab;Accessibility label (used by assistive technology) notifying the user that the tab is being closed.;
;Copy Image;Grafik kopieren;;True;Client/en.lproj/Localizable.strings///Copy Image;Context menu item for copying an image to the clipboard;
;Copy Link;Link kopieren;;True;Client/en.lproj/Localizable.strings///Copy Link;Context menu item for copying a link URL to the clipboard;
;Could not add page to Reading List. Maybe it‚Äôs already there?;;;False;Client/en.lproj/Localizable.strings///Could not add page to Reading List. Maybe it‚Äôs already there?;Accessibility message e.g. spoken by VoiceOver after the user wanted to add current page to the Reading List and this was not done, likely because it already was in the Reading List, but perhaps also because of real failures.;
;Could not add page to Reading list;Seite konnte nicht zur Leseliste hinzugef√ºgt werden;;True;Client/en.lproj/Localizable.strings///Could not add page to Reading list;Accessibility message e.g. spoken by VoiceOver after adding current webpage to the Reading List failed.;
;Could not load page.;Seite konnte nicht geladen werden.;;True;Client/en.lproj/Localizable.strings///Could not load page.;Error message that is shown in settings when there was a problem loading;
;Create an account;Konto erstellen;;True;Client/en.lproj/Localizable.strings///Create an account;See http://mzl.la/1Qtkf0j;
;Dark;Dunkel;;True;Client/en.lproj/Localizable.strings///Dark;Dark theme setting in Reading View settings;
;Debug: forget Sync auth state;Fehlerdiagnose: Sync-Authentifizierungsstatus vergessen;;True;Client/en.lproj/Localizable.strings///Debug: forget Sync auth state;Debug option;
;Debug: require password;Fehlerdiagnose: Passwort anfordern;;True;Client/en.lproj/Localizable.strings///Debug: require password;Debug option;
;Debug: require upgrade;Fehlerdiagnose: Upgrade anfordern;;True;Client/en.lproj/Localizable.strings///Debug: require upgrade;Debug option;
;Debug: use stage servers;;;False;Client/en.lproj/Localizable.strings///Debug: use stage servers;Debug option;
;Decrease text size;Text verkleinern;;True;Client/en.lproj/Localizable.strings///Decrease text size;Accessibility label for button decreasing font size in display settings of reader mode;
;Default Search Engine;Standardsuchmaschine;;True;Client/en.lproj/Localizable.strings///Default Search Engine;Accessibility label for default search engine setting. Title for default search engine picker. Title for default search engine settings section.;
;Disable additional page dialogs;Diese Seite daran hindern, weitere Dialoge zu √∂ffnen;;True;Client/en.lproj/Localizable.strings///Disable additional page dialogs;Pending feature;
;Display Settings;Anzeigeeinstellungen;;True;Client/en.lproj/Localizable.strings///Display Settings;Name for display settings button in reader mode. Display in the meaning of presentation, not monitor.;
;Do you want to save the password for %1$@ on %2$@?;Soll das Passwort f√ºr %1$@ auf %2$@ gespeichert werden?;;True;Client/en.lproj/Localizable.strings///Do you want to save the password for %@ on %@?;Prompt for saving a password. The first parameter is the username being saved. The second parameter is the hostname of the site.;
;Do you want to save the password on %@?;Soll das Passwort auf %@ gespeichert werden?;;True;Client/en.lproj/Localizable.strings///Do you want to save the password on %@?;Prompt for saving a password with no username. The parameter is the hostname of the site.;
;Do you want to update the password for %1$@ on %2$@?;Soll das Passwort f√ºr %1$@ auf %2$@ aktualisiert werden?;;True;Client/en.lproj/Localizable.strings///Do you want to update the password for %@ on %@?;Prompt for updating a password. The first parameter is the username being saved. The second parameter is the hostname of the site.;
;Do you want to update the password on %@?;Soll das Passwort auf %@ aktualisiert werden?;;True;Client/en.lproj/Localizable.strings///Do you want to update the password on %@?;Prompt for updating a password with on username. The parameter is the hostname of the site.;
;Done;Fertig;;True;Client/en.lproj/Localizable.strings///Done;Done button on left side of the Settings view controller title bar;
;Don‚Äôt Send;;;False;Client/en.lproj/Localizable.strings///Don‚Äôt Send;Used as a button label for crash dialog prompt;
;Download Video;;;False;Client/en.lproj/Localizable.strings///Download Video;Accessibility label for the Download Video button;
;Enter your password to connect.;Geben Sie Ihr Passwort ein, um eine Verbindung herzustellen.;;True;Client/en.lproj/Localizable.strings///Enter your password to connect.;Text message in the settings table view;
;Firefox would like to access your Photos;Firefox m√∂chte auf Ihre Fotos zugreifen;;True;Client/en.lproj/Localizable.strings///Firefox would like to access your Photos;See http://mzl.la/1G7uHo7;
;Forward;Vorw√§rts;;True;Client/en.lproj/Localizable.strings///Forward;Accessibility Label for the tab toolbar Forward button;
;Get your open tabs, bookmarks, and passwords from your other devices.;Holen Sie sich Ihre offenen Tabs, Lesezeichen und Passw√∂rter von Ihren anderen Ger√§ten.;;True;Client/en.lproj/Localizable.strings///Get your open tabs, bookmarks, and passwords from your other devices.;A re-worded offer about Sync, displayed when the Sync home panel is empty, that emphasizes one-way data transfer, not syncing.;
;Go;Los;;True;Client/en.lproj/Localizable.strings///Go;Pending feature;
;Go to copied URL?;Kopierte URL aufrufen?;;True;Client/en.lproj/Localizable.strings///Go to copied URL?;Pending feature;
;Help;Hilfe;;True;Client/en.lproj/Localizable.strings///Help;Show the SUMO support page from the Support section in the settings. see http://mzl.la/1dmM8tZ;
;History;Chronik;;True;Client/en.lproj/Localizable.strings///History;Panel accessibility label;
;Increase text size;Text vergr√∂√üern;;True;Client/en.lproj/Localizable.strings///Increase text size;Accessibility label for button increasing font size in display settings of reader mode;
;Intro Tour Carousel;Rundgang zur Einf√ºhrung;;True;Client/en.lproj/Localizable.strings///Intro Tour Carousel;Accessibility label for the introduction tour carousel;
;Last month;Letzter Monat;;True;Client/en.lproj/Localizable.strings///Last month;History tableview section header;
;Last synced: %@;Letzte Synchronisation: %@;;True;Client/en.lproj/Localizable.strings///Last synced: %@;Remote tabs last synced time. Argument is the relative date string.;
;Last week;Letzte Woche;;True;Client/en.lproj/Localizable.strings///Last week;History tableview section header;
;Licenses;Lizenzen;;True;Client/en.lproj/Localizable.strings///Licenses;Settings item that opens a tab containing the licenses. See http://mzl.la/1NSAWCG;
;Light;Hell;;True;Client/en.lproj/Localizable.strings///Light;Light theme setting in Reading View settings;
;Load original page;Ursprungsseite laden;;True;Client/en.lproj/Localizable.strings///Load original page;Link for going to the non-reader page when the reader view could not be loaded. This message will appear only when sharing to Firefox reader mode from another app.;
;Loading content‚Ä¶;Inhalt wird geladen‚Ä¶;;True;Client/en.lproj/Localizable.strings///Loading content‚Ä¶;Message displayed when the reader mode page is loading. This message will appear only when sharing to Firefox reader mode from another app.;
;Log in;Anmelden;;True;Client/en.lproj/Localizable.strings///Log in;Authentication prompt log in button;
;Logins;Zugangsdaten;;True;Client/en.lproj/Localizable.strings///Logins;Label used as an item in Settings. When touched, the user will be navigated to the Logins/Password manager.;
;Looks like Firefox crashed previously. Would you like to restore your tabs?;;;False;Client/en.lproj/Localizable.strings///Looks like Firefox crashed previously. Would you like to restore your tabs?;Restore Tabs Prompt Description;
;Mark as Read;Als gelesen markieren;;True;Client/en.lproj/Localizable.strings///Mark as Read;Name for Mark as read button in reader mode Title for the button that marks a reading list item as read;
;Mark as Unread;Als ungelesen markieren;;True;Client/en.lproj/Localizable.strings///Mark as Unread;Name for Mark as unread button in reader mode Title for the button that marks a reading list item as unread;
;Navigation Toolbar;Navigations-Symbolleiste;;True;Client/en.lproj/Localizable.strings///Navigation Toolbar;Accessibility label for the navigation toolbar displayed at the bottom of the screen.;
;New Tab;;;False;Client/en.lproj/Localizable.strings///New Tab;Accessibility label for the New Tab button in the tab toolbar.;
;No;Nein;;True;Client/en.lproj/Localizable.strings///No;Restore Tabs Negative Action;
;No tabs;Keine Tabs;;True;Client/en.lproj/Localizable.strings///No tabs;Message spoken by VoiceOver to indicate that there are no tabs in the Tabs Tray;
;Not now;Nicht jetzt;;True;Client/en.lproj/Localizable.strings///Not now;Button to not save the user's password;
;Okay;OK;;True;Client/en.lproj/Localizable.strings///Okay;Restore Tabs Affirmative Action;
;Oops! Firefox crashed;Hoppla! Firefox ist abgest√ºrzt;;True;Client/en.lproj/Localizable.strings///Oops! Firefox crashed;Title for prompt displayed to user after the app crashes;
;Open Settings;Einstellungen √∂ffnen;;True;Client/en.lproj/Localizable.strings///Open Settings;See http://mzl.la/1G7uHo7;
;Open articles in Reader View by tapping the book icon when it appears in the title bar.;√ñffnen Sie Artikel in der Leseansicht, indem Sie auf das Buch-Symbol tippen, wenn es in der Titelleiste angezeigt wird.;;True;Client/en.lproj/Localizable.strings///Open articles in Reader View by tapping the book icon when it appears in the title bar.;See http://mzl.la/1LXbDOL;
;Open in New Tab;;;False;Client/en.lproj/Localizable.strings///Open in New Tab;Context menu item for opening a link in a new tab;
;Open in‚Ä¶;√ñffnen in‚Ä¶;;True;Client/en.lproj/Localizable.strings///Open in‚Ä¶;String indicating that the file can be opened in another application on the device;
;Opening %@;%@ wird ge√∂ffnet;;True;Client/en.lproj/Localizable.strings///Opening %@;Opening an external URL;
;Page Options Menu;;;False;Client/en.lproj/Localizable.strings///Page Options Menu;Accessibility label for the Page Options menu button;
;Panel Chooser;Ansichten-Auswahl;;True;Client/en.lproj/Localizable.strings///Panel Chooser;Accessibility label for the Home panel's top toolbar containing list of the home panels (top sites, bookmarsk, history, remote tabs, reading list).;
;Password;Passwort;;True;Client/en.lproj/Localizable.strings///Password;Password textbox in Authentication prompt;
;Privacy;Datenschutz;;True;Client/en.lproj/Localizable.strings///Privacy;Privacy section title;
;Privacy Policy;Datenschutzerkl√§rung;;True;Client/en.lproj/Localizable.strings///Privacy Policy;Show Firefox Browser Privacy Policy page from the Privacy section in the settings. See https://www.mozilla.org/privacy/firefox/;
;Quick-Search Engines;;;False;Client/en.lproj/Localizable.strings///Quick-Search Engines;Title for quick-search engines settings section.;
;Reader View;Leseansicht;;True;Client/en.lproj/Localizable.strings///Reader View;Accessibility label for the Reader View button;
;Reading list;Leseliste;;True;Client/en.lproj/Localizable.strings///Reading list;Panel accessibility label;
;Reload;Neu laden;;True;Client/en.lproj/Localizable.strings///Reload;Accessibility Label for the tab toolbar Reload button;
;Remove;Entfernen;;True;Client/en.lproj/Localizable.strings///Remove;Title for the button that removes a reading list item;
;Remove from Reading List;Aus Leseliste entfernen;;True;Client/en.lproj/Localizable.strings///Remove from Reading List;Name for button removing current article from reading list in reader mode;
;Sans-serif;Sans Serif;;True;Client/en.lproj/Localizable.strings///Sans-serif;Font type setting in the reading view settings;
;Save Image;Grafik speichern;;True;Client/en.lproj/Localizable.strings///Save Image;Context menu item for saving an image;
;Save Logins;Zugangsdaten speichern;;True;Client/en.lproj/Localizable.strings///Save Logins;Setting to enable the built-in password manager;
;Save pages to your Reading List by tapping the book plus icon in the Reader View controls.;Speichern Sie Seiten in Ihrer Leseliste, indem Sie auf das Buch-Plus-Symbol in der Steuerung der Leseansicht tippen.;;True;Client/en.lproj/Localizable.strings///Save pages to your Reading List by tapping the book plus icon in the Reader View controls.;See http://mzl.la/1LXbDOL;
;Search;Suche;;True;Client/en.lproj/Localizable.strings///Search;Navigation title for search settings. Open search section of settings;
;Search or enter address;Suchen oder Adresse eingeben;;True;Client/en.lproj/Localizable.strings///Search or enter address;The text shown in the URL bar on about:home;
;Searches for the suggestion;Nach Suchvorschlag suchen;;True;Client/en.lproj/Localizable.strings///Searches for the suggestion;Accessibility hint describing the action performed when a search suggestion is clicked;
;Secure connection;Sichere Verbindung;;True;Client/en.lproj/Localizable.strings///Secure connection;Accessibility label for the lock icon, which is only present if the connection is secure;
;Send Feedback;Feedback senden;;True;Client/en.lproj/Localizable.strings///Send Feedback;Menu item in settings used to open input.mozilla.org where people can submit feedback;
;Send Report;Bericht senden;;True;Client/en.lproj/Localizable.strings///Send Report;Used as a button label for crash dialog prompt;
;Send a crash report so Mozilla can fix the problem?;Einen Absturzbericht senden, damit Mozilla das Problem beheben kann?;;True;Client/en.lproj/Localizable.strings///Send a crash report so Mozilla can fix the problem?;Message displayed in the crash dialog above the buttons used to select when sending reports;
;Sepia;Sepia;;True;Client/en.lproj/Localizable.strings///Sepia;Sepia theme setting in Reading View settings;
;Serif;Serif;;True;Client/en.lproj/Localizable.strings///Serif;Font type setting in the reading view settings;
;Settings;Einstellungen;;True;Client/en.lproj/Localizable.strings///Settings;Title in the settings view controller title bar;
;Share Link;Link teilen;;True;Client/en.lproj/Localizable.strings///Share Link;Context menu item for sharing a link URL;
;Show Search Suggestions;Suchvorschl√§ge anzeigen;;True;Client/en.lproj/Localizable.strings///Show Search Suggestions;Label for show search suggestions setting.;
;Show Tabs;Tabs anzeigen;;True;Client/en.lproj/Localizable.strings///Show Tabs;Accessibility label for the tabs button in the (top) tab toolbar Accessibility Label for the tabs button in the tab toolbar;
;Show Tour;Tipps anzeigen;;True;Client/en.lproj/Localizable.strings///Show Tour;Show the on-boarding screen again from the settings;
;Show search suggestions;Suchvorschl√§ge anzeigen;;True;Client/en.lproj/Localizable.strings///Show search suggestions;Label for show search suggestions setting.;
;Sign in;Anmelden;;True;Client/en.lproj/Localizable.strings///Sign in;Text message / button in the settings table view;
;Stop;Stopp;;True;Client/en.lproj/Localizable.strings///Stop;Accessibility Label for the tab toolbar Stop button;
;Support;Hilfe;;True;Client/en.lproj/Localizable.strings///Support;Support section title;
;Swipe right or left with three fingers to close the tab.;Wischen Sie mit drei Fingern nach rechts oder links, um den Tab zu schlie√üen.;;True;Client/en.lproj/Localizable.strings///Swipe right or left with three fingers to close the tab.;Accessibility hint for tab tray's displayed tab.;
;Sync Now;Jetzt synchronisieren;;True;Client/en.lproj/Localizable.strings///Sync Now;Sync Firefox Account;
;Sync your tabs, bookmarks, passwords and more.;Synchronisieren Sie Ihre Tabs, Lesezeichen, Passw√∂rter und mehr.;;True;Client/en.lproj/Localizable.strings///Sync your tabs, bookmarks, passwords and more.;Text displayed when the Sync home panel is empty, describing the features provided by Sync to invite the user to log in.;
;Sync your tabs, passwords and more.;Synchronisieren Sie Ihre Tabs, Passw√∂rter und mehr.;;True;Client/en.lproj/Localizable.strings///Sync your tabs, passwords and more.;Text displayed when the Sync home panel is empty, describing the features provided by Sync to invite the user to log in.;
;Tab %1$@ of %2$@;Tab %1$@ von %2$@;;True;Client/en.lproj/Localizable.strings///Tab %@ of %@;"Message spoken by VoiceOver saying the position of the single currently visible tab in Tabs Tray, along with the total number of tabs. E.g. \""Tab 2 of 5\"" says that tab 2 is visible (and is the only visible tab), out of 5 tabs total.";
;Tabs %1$@ to %2$@ of %3$@;Tabs %1$@ bis %2$@ von insgesamt %3$@;;True;Client/en.lproj/Localizable.strings///Tabs %@ to %@ of %@;"Message spoken by VoiceOver saying the range of tabs that are currently visible in Tabs Tray, along with the total number of tabs. E.g. \""Tabs 8 to 10 of 15\"" says tabs 8, 9 and 10 are visible, out of 15 tabs total.";
;Tabs Tray;Tab-Ablage;;True;Client/en.lproj/Localizable.strings///Tabs Tray;Accessibility label for the Tabs Tray view.;
;The page could not be displayed in Reader View.;Die Seite konnte nicht in der Leseansicht dargestellt werden.;;True;Client/en.lproj/Localizable.strings///The page could not be displayed in Reader View.;Message displayed when the reader mode page could not be loaded. This message will appear only when sharing to Firefox reader mode from another app.;
;There was a problem accessing tabs from your other devices. Try again in a few moments.;Fehler beim Zugriff auf Ihre Tabs von anderen Ger√§ten. Bitte versuchen Sie es in K√ºrze erneut.;;True;Client/en.lproj/Localizable.strings///There was a problem accessing tabs from your other devices. Try again in a few moments.;Error message in the remote tabs panel;
;There was an error converting the page;Fehler beim Umwandeln der Seite;;True;Client/en.lproj/Localizable.strings///There was an error converting the page;Error displayed when reader mode cannot be enabled;
;This allows you to save the image to your Camera Roll.;Hiermit k√∂nnen Sie die Grafik in Ihren Aufnahmen speichern.;;True;Client/en.lproj/Localizable.strings///This allows you to save the image to your Camera Roll.;See http://mzl.la/1G7uHo7;
;This will open in another application;Dies wird in einer anderen Anwendung ge√∂ffnet;;True;Client/en.lproj/Localizable.strings///This will open in another application;Opening an external app;
;Today;Heute;;True;Client/en.lproj/Localizable.strings///Today;History tableview section header;
;Top sites;Meistbesuchte Seiten;;True;Client/en.lproj/Localizable.strings///Top sites;Panel accessibility label;
;Update;Aktualisieren;;True;Client/en.lproj/Localizable.strings///Update;Button to update the user's password;
;Upgrade Firefox to connect.;Aktualisieren Sie Firefox, um eine Verbindung herzustellen.;;True;Client/en.lproj/Localizable.strings///Upgrade Firefox to connect.;Text message in the settings table view;
;Username;Benutzername;;True;Client/en.lproj/Localizable.strings///Username;Username textbox in Authentication prompt;
;Verify your email address.;Best√§tigen Sie Ihre E-Mail-Adresse.;;True;Client/en.lproj/Localizable.strings///Verify your email address.;Text message in the settings table view;
;Version %1$@ (%2$@);Version %1$@ (%2$@);;True;Client/en.lproj/Localizable.strings///Version %@ (%@);Version number of Firefox shown in settings;
;Web content;Web-Inhalt;;True;Client/en.lproj/Localizable.strings///Web content;Accessibility label for the main web content view;
;Welcome to your Reading List;Willkommen in Ihrer Leseliste;;True;Client/en.lproj/Localizable.strings///Welcome to your Reading List;See http://mzl.la/1LXbDOL;
;Well, this is embarrassing.;Entschuldigung, das h√§tte nicht passieren d√ºrfen.;;True;Client/en.lproj/Localizable.strings///Well, this is embarrassing.;Restore Tabs Prompt Title;
;Yes;Ja;;True;Client/en.lproj/Localizable.strings///Yes;Button to save the user's password;
;Yesterday;Gestern;;True;Client/en.lproj/Localizable.strings///Yesterday;History tableview section header;
